2020-09-04 22:59:51 |INFO  |main |StartupInfoLogger.java:55 |com.cole.service.edu.ServiceEduApplication |Starting ServiceEduApplication on CXL with PID 10140 (E:\cole_edu\cole_parent\service\service_edu\target\classes started by Cxl in E:\cole_edu\cole_parent)
2020-09-04 22:59:51 |INFO  |main |SpringApplication.java:655 |com.cole.service.edu.ServiceEduApplication |The following profiles are active: dev
2020-09-04 22:59:57 |INFO  |main |StartupInfoLogger.java:55 |com.cole.service.edu.ServiceEduApplication |Starting ServiceEduApplication on CXL with PID 1308 (E:\cole_edu\cole_parent\service\service_edu\target\classes started by Cxl in E:\cole_edu\cole_parent)
2020-09-04 22:59:57 |INFO  |main |SpringApplication.java:655 |com.cole.service.edu.ServiceEduApplication |The following profiles are active: dev
2020-09-04 22:59:58 |INFO  |main |TomcatWebServer.java:108 |org.springframework.boot.web.embedded.tomcat.TomcatWebServer |Tomcat initialized with port(s): 8989 (http)
2020-09-04 22:59:58 |INFO  |main |DirectJDKLog.java:173 |org.apache.coyote.http11.Http11NioProtocol |Initializing ProtocolHandler ["http-nio-8989"]
2020-09-04 22:59:58 |INFO  |main |DirectJDKLog.java:173 |org.apache.catalina.core.StandardService |Starting service [Tomcat]
2020-09-04 22:59:58 |INFO  |main |DirectJDKLog.java:173 |org.apache.catalina.core.StandardEngine |Starting Servlet engine: [Apache Tomcat/9.0.37]
2020-09-04 22:59:58 |INFO  |main |DirectJDKLog.java:173 |org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] |Initializing Spring embedded WebApplicationContext
2020-09-04 22:59:58 |INFO  |main |ServletWebServerApplicationContext.java:285 |org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext |Root WebApplicationContext: initialization completed in 1642 ms
2020-09-04 23:00:00 |INFO  |main |PropertySourcedRequestMappingHandlerMapping.java:69 |springfox.documentation.spring.web.PropertySourcedRequestMappingHandlerMapping |Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2020-09-04 23:00:00 |INFO  |main |ExecutorConfigurationSupport.java:181 |org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor |Initializing ExecutorService 'applicationTaskExecutor'
2020-09-04 23:00:00 |INFO  |main |DirectJDKLog.java:173 |org.apache.coyote.http11.Http11NioProtocol |Starting ProtocolHandler ["http-nio-8989"]
2020-09-04 23:00:00 |INFO  |main |TomcatWebServer.java:220 |org.springframework.boot.web.embedded.tomcat.TomcatWebServer |Tomcat started on port(s): 8989 (http) with context path ''
2020-09-04 23:00:00 |INFO  |main |DocumentationPluginsBootstrapper.java:147 |springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper |Context refreshed
2020-09-04 23:00:00 |INFO  |main |DocumentationPluginsBootstrapper.java:150 |springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper |Found 2 custom documentation plugin(s)
2020-09-04 23:00:00 |INFO  |main |ApiListingReferenceScanner.java:41 |springfox.documentation.spring.web.scanners.ApiListingReferenceScanner |Scanning for api listing references
2020-09-04 23:00:00 |INFO  |main |ApiListingReferenceScanner.java:41 |springfox.documentation.spring.web.scanners.ApiListingReferenceScanner |Scanning for api listing references
2020-09-04 23:00:00 |INFO  |main |StartupInfoLogger.java:61 |com.cole.service.edu.ServiceEduApplication |Started ServiceEduApplication in 5.197 seconds (JVM running for 6.544)
2020-09-04 23:02:40 |INFO  |http-nio-8989-exec-1 |DirectJDKLog.java:173 |org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] |Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-09-04 23:02:40 |INFO  |http-nio-8989-exec-1 |FrameworkServlet.java:525 |org.springframework.web.servlet.DispatcherServlet |Initializing Servlet 'dispatcherServlet'
2020-09-04 23:02:40 |INFO  |http-nio-8989-exec-1 |FrameworkServlet.java:547 |org.springframework.web.servlet.DispatcherServlet |Completed initialization in 9 ms
2020-09-04 23:09:37 |INFO  |main |StartupInfoLogger.java:55 |com.cole.service.edu.ServiceEduApplication |Starting ServiceEduApplication on CXL with PID 3556 (E:\cole_edu\cole_parent\service\service_edu\target\classes started by Cxl in E:\cole_edu\cole_parent)
2020-09-04 23:09:37 |INFO  |main |SpringApplication.java:655 |com.cole.service.edu.ServiceEduApplication |The following profiles are active: dev
2020-09-04 23:09:39 |INFO  |main |TomcatWebServer.java:108 |org.springframework.boot.web.embedded.tomcat.TomcatWebServer |Tomcat initialized with port(s): 8989 (http)
2020-09-04 23:09:39 |INFO  |main |DirectJDKLog.java:173 |org.apache.coyote.http11.Http11NioProtocol |Initializing ProtocolHandler ["http-nio-8989"]
2020-09-04 23:09:39 |INFO  |main |DirectJDKLog.java:173 |org.apache.catalina.core.StandardService |Starting service [Tomcat]
2020-09-04 23:09:39 |INFO  |main |DirectJDKLog.java:173 |org.apache.catalina.core.StandardEngine |Starting Servlet engine: [Apache Tomcat/9.0.37]
2020-09-04 23:09:39 |INFO  |main |DirectJDKLog.java:173 |org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] |Initializing Spring embedded WebApplicationContext
2020-09-04 23:09:39 |INFO  |main |ServletWebServerApplicationContext.java:285 |org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext |Root WebApplicationContext: initialization completed in 2081 ms
2020-09-04 23:09:41 |INFO  |main |PropertySourcedRequestMappingHandlerMapping.java:69 |springfox.documentation.spring.web.PropertySourcedRequestMappingHandlerMapping |Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2020-09-04 23:09:41 |INFO  |main |ExecutorConfigurationSupport.java:181 |org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor |Initializing ExecutorService 'applicationTaskExecutor'
2020-09-04 23:09:41 |INFO  |main |DirectJDKLog.java:173 |org.apache.coyote.http11.Http11NioProtocol |Starting ProtocolHandler ["http-nio-8989"]
2020-09-04 23:09:41 |INFO  |main |TomcatWebServer.java:220 |org.springframework.boot.web.embedded.tomcat.TomcatWebServer |Tomcat started on port(s): 8989 (http) with context path ''
2020-09-04 23:09:41 |INFO  |main |DocumentationPluginsBootstrapper.java:147 |springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper |Context refreshed
2020-09-04 23:09:41 |INFO  |main |DocumentationPluginsBootstrapper.java:150 |springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper |Found 2 custom documentation plugin(s)
2020-09-04 23:09:41 |INFO  |main |ApiListingReferenceScanner.java:41 |springfox.documentation.spring.web.scanners.ApiListingReferenceScanner |Scanning for api listing references
2020-09-04 23:09:41 |INFO  |main |ApiListingReferenceScanner.java:41 |springfox.documentation.spring.web.scanners.ApiListingReferenceScanner |Scanning for api listing references
2020-09-04 23:09:41 |INFO  |main |StartupInfoLogger.java:61 |com.cole.service.edu.ServiceEduApplication |Started ServiceEduApplication in 6.074 seconds (JVM running for 7.626)
